id,race_id,wtc_resultid,bib,athlete_name,first_name,last_name,gender,city,state,country_iso2,country_representing,age_group,status,finish_secs,swim_secs,t1_secs,bike_secs,t2_secs,run_secs,finish_fmt,swim_fmt,t1_fmt,bike_fmt,t2_fmt,run_fmt,rank_overall,rank_gender,rank_division,swim_rank_overall,swim_rank_gender,swim_rank_division,bike_rank_overall,bike_rank_gender,bike_rank_division,run_rank_overall,run_rank_gender,run_rank_division,awa_points,swim_dist_km,bike_dist_km,run_dist_km,total_dist_km
76158,53,d6e94405-aa86-4927-820e-8188e8262a9f,1,Lionel Sanders,Lionel,Sanders,Male,Oro Valley,AZ,CA,CA,MPRO,FIN,13416,1597,114,7249,106,4351,3:43:36,0:26:37,,2:00:49,,1:12:31,1,1,1,26,25,17,1,1,1,1,1,1,3500.0,1.9312,90.9762,20.1651,113.0725
76159,53,a507d976-a79d-4abb-b959-3dc0d9ee3c20,6,Eric Lagerstrom,Eric,Lagerstrom,Male,Bend,OR,US,US,MPRO,FIN,13666,1419,120,7517,111,4499,3:47:46,0:23:39,,2:05:17,,1:14:59,2,2,2,1,1,1,2,2,2,2,2,2,3425.0,1.9312,90.9762,20.1651,113.0725
76160,53,8d5d205f-83a9-4a2b-9653-64cf35b8987a,9,Miki Mørck Taagholt,Miki Mørck,Taagholt,Male,Odense,foreigner,DK,DK,MPRO,FIN,13896,1420,120,7652,119,4586,3:51:36,0:23:40,,2:07:32,,1:16:26,3,3,3,2,2,2,4,4,4,3,3,3,3356.0,1.9312,90.9762,20.1651,113.0725
76161,53,f884f286-f14c-4b82-b450-20add5373cf8,31,Benjamin Deal,Benjamin,Deal,Male,Charlottesville,VA,US,US,MPRO,FIN,13928,1563,158,7763,86,4359,3:52:08,0:26:03,,2:09:23,,1:12:39,4,4,4,22,22,15,11,11,11,4,4,4,3346.0,1.9312,90.9762,20.1651,113.0725
76162,53,aba8cf7b-746a-469a-bde2-c00cc111f5ff,4,Kevin Collington,Kevin,Collington,Male,Longmont,CO,US,US,MPRO,FIN,13986,1485,139,7870,91,4401,3:53:06,0:24:45,,2:11:10,,1:13:21,5,5,5,7,7,7,16,16,16,5,5,5,3329.0,1.9312,90.9762,20.1651,113.0725
76163,53,eba5f8d2-dc1a-4878-8b24-fc57c8b9c3e3,13,Jason West,Jason,West,Male,Longmont,CO,US,US,MPRO,FIN,14044,1429,120,7926,107,4462,3:54:04,0:23:49,,2:12:06,,1:14:22,6,6,6,3,3,3,7,7,7,6,6,6,3311.0,1.9312,90.9762,20.1651,113.0725
76164,53,aa622574-613e-4fcd-a6b1-1b501b734af9,25,Alexander Schilling,Alexander,Schilling,Male,Leipzig,Saxony,DE,DE,MPRO,FIN,14169,1504,123,7861,88,4594,3:56:09,0:25:04,,2:11:01,,1:16:34,7,7,7,12,12,11,14,14,14,7,7,7,3274.0,1.9312,90.9762,20.1651,113.0725
76165,53,c7448415-91a5-4b1e-934f-9efc806fb798,36,Curtis Feltner,Curtis,Feltner,Male,Bend,OR,US,US,MPRO,FIN,14240,1610,119,7749,112,4651,3:57:20,0:26:50,,2:09:09,,1:17:31,8,8,8,31,30,21,9,9,9,8,8,8,3252.0,1.9312,90.9762,20.1651,113.0725
76166,53,e5e927b7-565b-4a67-8f21-d0a0c26e7b12,11,Andrew Yoder,Andrew,Yoder,Male,Lancaster,PA,US,US,MPRO,FIN,14288,1555,123,7554,120,4936,3:58:08,0:25:55,,2:05:54,,1:22:16,9,9,9,20,20,13,6,6,6,9,9,9,3238.0,1.9312,90.9762,20.1651,113.0725
76167,53,e25320c1-fdc5-490d-a789-758d8d194d01,41,Nicolas Johnstone-Dougall,Nicolas,Johnstone-Dougall,Male,Foster City,CA,ZA,ZA,MPRO,FIN,14318,1483,142,7556,129,5008,3:58:38,0:24:43,,2:05:56,,1:23:28,10,10,10,5,5,5,3,3,3,10,10,10,3229.0,1.9312,90.9762,20.1651,113.0725
76168,53,53142297-a9ca-4133-8e5b-0a786fc0b2be,38,Andrew Keily,Andrew,Keily,Male,OCONOMOWOC,WI,US,US,MPRO,FIN,14426,1495,186,7812,123,4810,4:00:26,0:24:55,,2:10:12,,1:20:10,11,11,11,10,10,10,15,15,15,11,11,11,3197.0,1.9312,90.9762,20.1651,113.0725
76169,53,7b60802f-6e54-4057-a63d-8512b08246f6,21,Eliot Scymanski,Eliot,Scymanski,Male,Tucson,AZ,US,US,MPRO,FIN,14436,1489,162,7825,112,4848,4:00:36,0:24:49,,2:10:25,,1:20:48,12,12,12,9,9,9,8,8,8,12,12,12,3194.0,1.9312,90.9762,20.1651,113.0725
76170,53,7b074272-16e3-4f6c-89f1-c2bac0ceba29,7,Andre Lopes,Andre,Lopes,Male,Longmont,CO,BR,BR,MPRO,FIN,14463,1536,116,7832,108,4870,4:01:03,0:25:36,,2:10:32,,1:21:10,13,13,13,16,16,12,12,12,12,13,13,13,3185.0,1.9312,90.9762,20.1651,113.0725
76171,53,9dfb6876-3b1e-4df4-80f7-9f81ea020fe9,1786,Chad Hall,Chad,Hall,Male,Big Bear Lake,CA,US,US,M30-34,FIN,14476,1982,205,7654,104,4531,4:01:16,0:33:02,,2:07:34,,1:15:31,14,14,1,213,167,21,22,22,2,14,14,1,3500.0,1.9312,90.9762,20.1651,113.0725
76172,53,7739395e-11fe-457f-8fc8-44edc61cca10,42,Dylan Gillespie,Dylan,Gillespie,Male,Bozeman,MT,US,US,MPRO,FIN,14519,1485,110,7892,112,4920,4:01:59,0:24:45,,2:11:32,,1:22:00,15,15,14,6,6,6,13,13,13,15,15,14,3169.0,1.9312,90.9762,20.1651,113.0725
76173,53,ea11d5d3-1d85-4824-b403-b66c613d5e2d,172,Devin Volk,Devin,Volk,Male,Bend,OR,US,US,M25-29,FIN,14595,1707,160,7997,104,4627,4:03:15,0:28:27,,2:13:17,,1:17:07,16,16,1,58,50,8,26,25,3,16,16,1,3500.0,1.9312,90.9762,20.1651,113.0725
76174,53,b8dcbb80-2895-4d3f-b0e9-ea3f9552f318,18,Frank Sorbara,Frank,Sorbara,Male,Thornhill,ON,CA,CA,MPRO,FIN,14602,1604,154,8161,148,4536,4:03:22,0:26:44,,2:16:01,,1:15:36,17,17,15,29,28,20,33,32,21,17,17,15,3144.0,1.9312,90.9762,20.1651,113.0725
76175,53,860ed41d-940c-43b5-8e75-41b9eb11f39c,40,Matt Franklin,Matt,Franklin,Male,Auckland,AUK,NZ,NZ,MPRO,FIN,14659,1487,128,7584,131,5329,4:04:19,0:24:47,,2:06:24,,1:28:49,18,18,16,8,8,8,5,5,5,18,18,16,3127.0,1.9312,90.9762,20.1651,113.0725
76176,53,1de6e3e8-4ec6-4e99-bf15-75148651e1e2,170,Conrad Sanders,Conrad,Sanders,Male,PHOENIX,AZ,US,US,M25-29,FIN,14771,1718,166,7904,113,4869,4:06:11,0:28:38,,2:11:44,,1:21:09,19,19,2,61,52,9,19,19,1,19,19,2,3447.0,1.9312,90.9762,20.1651,113.0725
