id,race_id,wtc_resultid,bib,athlete_name,first_name,last_name,gender,city,state,country_iso2,country_representing,age_group,status,finish_secs,swim_secs,t1_secs,bike_secs,t2_secs,run_secs,finish_fmt,swim_fmt,t1_fmt,bike_fmt,t2_fmt,run_fmt,rank_overall,rank_gender,rank_division,swim_rank_overall,swim_rank_gender,swim_rank_division,bike_rank_overall,bike_rank_gender,bike_rank_division,run_rank_overall,run_rank_gender,run_rank_division,awa_points,swim_dist_km,bike_dist_km,run_dist_km,total_dist_km
159919,85,8a136b88-c3a4-4544-b864-deb3fd127c6a,2591,Scott Coombs,Scott,Coombs,Male,Vancouver,BC,CA,CA,M30-34,FIN,29779,2647,390,15784,152,10806,8:16:19,0:44:07,0:06:30,4:23:04,0:02:32,3:00:06,1,1,1,11,10,2,2,2,1,1,1,1,5000.0,3.8624,180.086,41.4728,225.4212
159920,85,292daf70-5d72-4594-8abe-ee0e18114408,2035,Bryce Morison,Bryce,Morison,Male,SANTA BARBARA,CA,US,US,M25-29,FIN,29841,2858,348,15789,228,10618,8:17:21,0:47:38,0:05:48,4:23:09,0:03:48,2:56:58,2,2,1,76,70,14,5,5,1,2,2,1,5000.0,3.8624,180.086,41.4728,225.4212
159921,85,a2a81ba0-717f-4193-a6e0-d430de54a183,1762,Bryan Mooney,Bryan,Mooney,Male,Oak Park,IL,US,US,M25-29,FIN,29936,2729,416,16307,213,10270,8:18:56,0:45:29,0:06:56,4:31:47,0:03:33,2:51:10,3,3,2,31,29,6,23,23,6,3,3,2,4981.0,3.8624,180.086,41.4728,225.4212
159922,85,4206203e-e97c-495a-acbf-1233699c9823,153,Josh Ramirez,Josh,Ramirez,Male,SAN DIEGO,CA,US,US,M35-39,FIN,30132,2930,360,15813,176,10854,8:22:12,0:48:50,0:06:00,4:23:33,0:02:56,3:00:54,4,4,1,110,101,18,9,9,4,4,4,1,5000.0,3.8624,180.086,41.4728,225.4212
159923,85,8fccc99c-41d8-43f5-aec2-178c68ffd161,299,Ilya Kosov,Ilya,Kosov,Male,Moscow,Moscow,KG,KG,M35-39,FIN,30178,2648,316,16099,207,10908,8:22:58,0:44:08,0:05:16,4:28:19,0:03:27,3:01:48,5,5,2,12,11,4,8,8,3,5,5,2,4990.0,3.8624,180.086,41.4728,225.4212
159924,85,39484036-0104-4cc5-bfcf-a884433164fa,261,Victor Navarro Castello Branco,Victor,Navarro Castello Branco,Male,Sao Paulo,BR-SP,BR,BR,M35-39,FIN,30273,3015,384,15970,196,10708,8:24:33,0:50:15,0:06:24,4:26:10,0:03:16,2:58:28,6,6,3,155,141,22,18,18,7,6,6,3,4971.0,3.8624,180.086,41.4728,225.4212
159925,85,97b1ce0b-9743-4019-b16d-d7b85d166d48,2333,Reed Horton,Reed,Horton,Male,Mill Valley,CA,US,US,M30-34,FIN,30456,2726,386,16177,227,10940,8:27:36,0:45:26,0:06:26,4:29:37,0:03:47,3:02:20,7,7,2,30,28,6,15,15,5,7,7,2,4864.0,3.8624,180.086,41.4728,225.4212
159926,85,0179f77e-f7f1-4d98-bc89-2d997b1f290c,72,Thomas Nelson,Thomas,Nelson,Male,Mission Viejo,US-CA,US,US,M45-49,FIN,30571,3177,373,15912,172,10937,8:29:31,0:52:57,0:06:13,4:25:12,0:02:52,3:02:17,8,8,1,297,262,25,25,25,3,8,8,1,5000.0,3.8624,180.086,41.4728,225.4212
159927,85,f34870a3-160c-49c0-9359-0c6288c7790e,276,George Hoffmann,George,Hoffmann,Male,PLAYA DEL REY,CA,US,US,M30-34,FIN,30707,2736,330,15967,207,11466,8:31:47,0:45:36,0:05:30,4:26:07,0:03:27,3:11:06,9,9,3,33,31,7,7,7,2,9,9,3,4814.0,3.8624,180.086,41.4728,225.4212
159928,85,c9d70b4a-b8a2-490f-9f49-869ee0d09b71,2159,Mihai Vigariu,Mihai,Vigariu,Male,Bucuresti,Bucuresti,RO,RO,M40-44,FIN,30752,2861,295,15403,204,11990,8:32:32,0:47:41,0:04:55,4:16:43,0:03:24,3:19:50,10,10,1,78,72,4,1,1,1,10,10,1,5000.0,3.8624,180.086,41.4728,225.4212
